ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.016759,-0.225055,10.158598,0.030776,0.057689,-0.019052
0.028730,-0.246603,10.170568,0.031576,0.057156,-0.018652
-0.031125,-0.275333,10.225636,0.031443,0.056224,-0.017853
-0.026336,-0.292093,10.220847,0.032375,0.056224,-0.017986
-0.011971,-0.246603,10.232818,0.032109,0.057156,-0.018119
-0.014365,-0.292093,10.177752,0.031443,0.055291,-0.018253
0.009577,-0.222661,10.201694,0.031975,0.055291,-0.018786
-0.026336,-0.237026,10.204087,0.032508,0.057423,-0.018386
0.033519,-0.284910,10.096349,0.031975,0.056757,-0.018386
0.021548,-0.246603,10.254366,0.031709,0.054891,-0.019452
-0.057461,-0.263362,10.160992,0.030776,0.055824,-0.018652
-0.007183,-0.292093,10.149021,0.030910,0.056890,-0.017853
0.028730,-0.306458,10.194510,0.030776,0.056890,-0.017187
0.007183,-0.289698,10.230424,0.031576,0.057023,-0.017054
0.000000,-0.256180,10.271125,0.030377,0.057423,-0.018386
-0.004788,-0.268151,10.134656,0.030643,0.055824,-0.018253
0.016759,-0.270545,10.201694,0.030910,0.056490,-0.019851
-0.009577,-0.210690,10.192117,0.030377,0.056890,-0.018786
-0.035913,-0.268151,10.182540,0.030776,0.056490,-0.017720
-0.026336,-0.265756,10.170568,0.031309,0.056224,-0.017720
-0.016759,-0.306458,10.134656,0.031309,0.057023,-0.016920
-0.067038,-0.284910,10.230424,0.031443,0.055691,-0.017720
-0.016759,-0.253785,10.220847,0.031709,0.056090,-0.018652
-0.023942,-0.282516,10.199299,0.031975,0.056623,-0.020384
0.052672,-0.256180,10.184934,0.031975,0.053959,-0.019452
-0.043096,-0.227449,10.192117,0.031043,0.055158,-0.019185
0.011971,-0.268151,10.213664,0.030643,0.055158,-0.018919
0.043096,-0.205901,10.172963,0.030510,0.055557,-0.018519
-0.007183,-0.277727,10.225636,0.030377,0.056224,-0.016787
-0.059855,-0.268151,10.223241,0.031975,0.055158,-0.017720
-0.052672,-0.311246,10.244789,0.030910,0.054758,-0.018519
-0.052672,-0.284910,10.146626,0.032508,0.055824,-0.019052
-0.007183,-0.311246,10.177752,0.033308,0.054225,-0.018386
-0.038307,-0.275333,10.218452,0.032242,0.057423,-0.018253
